obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""320.037""","=""""","=""8""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L2131""",
"=""331.934""","=""""","=""7""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3512""",
"=""337.347""","=""""","=""7""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3512""",
"=""339.373""","=""""","=""7""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3512""",
"=""""","=""340.61804""","=""""","=""3.9e+05""",D,"=""95399.8276""","=""124749.805""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<1/2>).7p""","=""2[1/2]""","=""0""",,"=""T1086n""","=""""",
"=""346.107""","=""346.10783""","=""7""","=""6.7e+04""",D,"=""93750.5978""","=""122635.054""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""","=""3s2.3p5.(2P*<1/2>).6p""","=""2[3/2]""","=""2""",,"=""T1086n""","=""L3512""",
"=""355.4306""","=""355.43055""","=""7""","=""2.7e+05""",D,"=""93143.7600""","=""121270.617""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""","=""3s2.3p5.(2P*<3/2>).6p""","=""2[3/2]""","=""2""",,"=""T1086n""","=""L2634""",
"=""""","=""356.32859""","=""""","=""1.2e+05""",D,"=""94553.6652""","=""122609.637""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""0""","=""3s2.3p5.(2P*<1/2>).6p""","=""2[3/2]""","=""1""",,"=""T1086n""","=""""",
"=""""","=""356.76560""","=""""","=""1.1e+05""",D,"=""93143.7600""","=""121165.367""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""","=""3s2.3p5.(2P*<3/2>).6p""","=""2[5/2]""","=""3""",,"=""T1086n""","=""""",
"=""""","=""357.22953""","=""""","=""5.1e+05""",D,"=""95399.8276""","=""123385.044""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).7p""","=""2[1/2]""","=""0""",,"=""T1086n""","=""""",
