element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ar,2,"=""200.3325""","=""0.0006""","=""200.331919""","=""0.000006""","=""1""","=""""",,"=""158428.1087""","=""208329.1101""","=""3s2.3p4.(3P).4p""","=""4D*""","=""1/2""","=""3s2.3p4.(3P).7s""","=""4P""","=""1/2""",,"=""""","=""L14821""",
Ar,2,"=""200.39101""","=""0.00004""","=""200.390976""","=""0.000009""","=""10""","=""""",,"=""160239.4280""","=""210125.7255""","=""3s2.3p4.(3P).4p""","=""2P*""","=""3/2""","=""3s2.3p4.(3P).6d""","=""2D""","=""5/2""",,"=""""","=""L11520""",
Ar,2,"=""200.49162""","=""0.00002""","=""200.491595""","=""0.000005""","=""17""","=""""",,"=""157234.0196""","=""207095.2846""","=""3s2.3p4.(3P).4p""","=""4D*""","=""7/2""","=""3s2.3p4.(3P).7s""","=""4P""","=""5/2""",,"=""""","=""L11520""",
Ar,3,"=""200.68505""","=""0.00009""","=""200.68507""","=""0.00008""","=""5""","=""""",,"=""189380.83""","=""239194.033""","=""3s2.3p3.(2P*).3d""","=""3P*""","=""2""","=""3s2.3p3.(2P*).4p""","=""3S""","=""1""",,"=""""","=""L11520""",
Ar,4,"=""200.689""","=""0.001""","=""200.6907""","=""0.0015""","=""6""","=""""",,"=""256087.8""","=""305899.6""","=""3s2.3p2.(3P).4s""","=""2P""","=""1/2""","=""3s2.3p2.(1D).4p""","=""2D*""","=""3/2""",,"=""""","=""L11418""",
Ar,2,"=""200.7178""","=""0.0006""","=""200.716909""","=""0.000006""","=""1""","=""""",,"=""159393.3850""","=""209198.6869""","=""3s2.3p4.(3P).4p""","=""2D*""","=""3/2""","=""3s2.3p4.(3P).6d""","=""4P""","=""5/2""",,"=""""","=""L14821""",
Ar,2,"=""201.1141""","=""0.0006""","=""201.113972""","=""0.000006""","=""1""","=""""",,"=""159706.5337""","=""209413.5184""","=""3s2.3p4.(3P).4p""","=""2P*""","=""1/2""","=""3s2.3p4.(3P).6d""","=""2D""","=""3/2""",,"=""""","=""L14821""",
Ar,2,"=""201.4311""","=""0.0006""","=""201.430870""","=""0.000005""","=""1""","=""""",,"=""145668.8845""","=""195297.6798""","=""3s2.3p4.(3P).3d""","=""2P""","=""3/2""","=""3s2.3p4.(3P<2>).4f""","=""2[1]*""","=""3/2""",,"=""""","=""L14821""",
Ar,2,"=""201.53171""","=""0.00008""","=""201.531681""","=""0.000005""","=""6""","=""""",,"=""157673.4134""","=""207277.3869""","=""3s2.3p4.(3P).4p""","=""4D*""","=""5/2""","=""3s2.3p4.(3P).7s""","=""4P""","=""3/2""",,"=""""","=""L11520""",
Ar,2,"=""201.87552""","=""0.00006""","=""201.875523""","=""0.000005""","=""6""","=""""",,"=""158730.2995""","=""208249.7978""","=""3s2.3p4.(3P).4p""","=""2D*""","=""5/2""","=""3s2.3p4.(3P).7s""","=""2P""","=""3/2""",,"=""""","=""L11520""",
Ar,2,"=""202.176""","=""0.002""","=""202.17457""","=""0.00005""","=""0.5""","=""""",,"=""108721.537""","=""158167.7999""","=""3s.3p6""","=""2S""","=""1/2""","=""3s2.3p4.(3P).4p""","=""4D*""","=""3/2""",,"=""""","=""L14821""",
Ar,2,"=""202.273""","=""0.002""","=""202.274361""","=""0.000005""","=""1""","=""""",,"=""157673.4134""","=""207095.2846""","=""3s2.3p4.(3P).4p""","=""4D*""","=""5/2""","=""3s2.3p4.(3P).7s""","=""4P""","=""5/2""",,"=""""","=""L14821""",
Ar,2,"=""202.31164""","=""0.00005""","=""202.311608""","=""0.000005""","=""9""","=""""",,"=""158730.2995""","=""208143.0731""","=""3s2.3p4.(3P).4p""","=""2D*""","=""5/2""","=""3s2.3p4.(3P).6d""","=""4F""","=""7/2""",,"=""""","=""L11520""",
Ar,2,"=""202.4733""","=""0.0006""","=""202.476857""","=""0.000005""","=""2""","=""""",,"=""159393.3850""","=""208765.8367""","=""3s2.3p4.(3P).4p""","=""2D*""","=""3/2""","=""3s2.3p4.(3P).7s""","=""2P""","=""1/2""",,"=""""","=""L14821""",
Ar,2,"=""202.51844""","=""0.00004""","=""202.518429""","=""0.000006""","=""10""","=""""",,"=""145668.8845""","=""195031.2028""","=""3s2.3p4.(3P).3d""","=""2P""","=""3/2""","=""3s2.3p4.(3P<2>).4f""","=""2[2]*""","=""5/2""",,"=""""","=""L11520""",
Ar,2,"=""202.6602""","=""0.0006""","=""202.660672""","=""0.000005""","=""2""","=""""",,"=""145668.8845""","=""194996.5613""","=""3s2.3p4.(3P).3d""","=""2P""","=""3/2""","=""3s2.3p4.(3P<2>).4f""","=""2[2]*""","=""3/2""",,"=""""","=""L14821""",
Ar,2,"=""202.8558""","=""0.0006""","=""202.856745""","=""0.000006""","=""1""","=""""",,"=""159393.3850""","=""208673.3904""","=""3s2.3p4.(3P).4p""","=""2D*""","=""3/2""","=""3s2.3p4.(3P).6d""","=""4F""","=""5/2""",,"=""""","=""L14821""",
Ar,2,"=""203.21774""","=""0.00005""","=""203.217775""","=""0.000005""","=""9""","=""""",,"=""145668.8845""","=""194861.3529""","=""3s2.3p4.(3P).3d""","=""2P""","=""3/2""","=""3s2.3p4.(3P<2>).4f""","=""2[3]*""","=""5/2""",,"=""""","=""L11520""",
Ar,2,"=""203.47624""","=""0.00006""","=""203.476255""","=""0.000006""","=""6""","=""""",,"=""147503.1134""","=""196633.1005""","=""3s2.3p4.(3P).3d""","=""4P""","=""3/2""","=""3s2.3p4.(3P<0>).4f""","=""2[3]*""","=""5/2""",,"=""""","=""L11520""",
